pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z
0.017164,0.056312,-0.008323,0.011142,0.059499,-0.008512,0.085065,0.06743,-0.025825,0.09143,0.068025,-0.027902
0.01739,0.056183,-0.008277,0.011175,0.059472,-0.008512,0.085045,0.067429,-0.025734,0.091429,0.068024,-0.027872
0.017527,0.056097,-0.008249,0.011353,0.059327,-0.008454,0.084994,0.067426,-0.02569,0.091349,0.068006,-0.02775
0.017777,0.056037,-0.00819,0.011548,0.059299,-0.008422,0.084929,0.067437,-0.025621,0.091254,0.068099,-0.027621
0.017935,0.05592,-0.008035,0.011739,0.059173,-0.008353,0.084929,0.067437,-0.025621,0.091166,0.068066,-0.027567
0.018203,0.055789,-0.007954,0.011942,0.059052,-0.008292,0.084875,0.067434,-0.025501,0.091114,0.068015,-0.027535
0.01834,0.055658,-0.007927,0.012066,0.058998,-0.00822,0.084846,0.067444,-0.025426,0.091055,0.068094,-0.027438
0.018553,0.05553,-0.007879,0.01228,0.058843,-0.008228,0.084802,0.067442,-0.025345,0.090921,0.068042,-0.02735
0.018739,0.055474,-0.007794,0.012482,0.058662,-0.008069,0.084721,0.067439,-0.025266,0.090921,0.068042,-0.02735
0.019071,0.055508,-0.007748,0.012684,0.058584,-0.008073,0.084607,0.067436,-0.025334,0.090843,0.068038,-0.027162
0.019042,0.055414,-0.007415,0.012911,0.058376,-0.008017,0.084517,0.067435,-0.02534,0.090811,0.068071,-0.027164
0.019304,0.055318,-0.007355,0.013014,0.058292,-0.007971,0.084433,0.067432,-0.025188,0.090652,0.068113,-0.027027
0.019499,0.055235,-0.007305,0.013195,0.058129,-0.007901,0.084404,0.067375,-0.025125,0.090558,0.068094,-0.026994
0.019611,0.055097,-0.007226,0.013418,0.058022,-0.007792,0.084309,0.067383,-0.025109,0.090497,0.068094,-0.027001
0.019828,0.055077,-0.007288,0.013603,0.057966,-0.007762,0.08417,0.067413,-0.025005,0.090403,0.06809,-0.026872
0.020115,0.054898,-0.007264,0.013826,0.057806,-0.007703,0.084099,0.0674,-0.024908,0.090241,0.067972,-0.02672
0.020241,0.054787,-0.007254,0.014108,0.057619,-0.007632,0.084088,0.0674,-0.024906,0.090215,0.068036,-0.02672
0.020456,0.054586,-0.007171,0.014299,0.057539,-0.007543,0.084055,0.067388,-0.02491,0.09016,0.068018,-0.026482
0.020627,0.054458,-0.007132,0.014418,0.057372,-0.007465,0.083995,0.067307,-0.024869,0.090103,0.067935,-0.02654
0.02082,0.054339,-0.007094,0.01458,0.057219,-0.007421,0.083965,0.067305,-0.024655,0.089933,0.067962,-0.026497
0.021039,0.054158,-0.006938,0.014759,0.057173,-0.00739,0.083907,0.067292,-0.024592,0.089911,0.067961,-0.026403
0.021217,0.054094,-0.006836,0.014986,0.057163,-0.007254,0.083873,0.067291,-0.024554,0.089864,0.067928,-0.026348
0.021437,0.05396,-0.006753,0.015171,0.057023,-0.007281,0.083727,0.067286,-0.02449,0.08986,0.067927,-0.026256
0.021614,0.053851,-0.006666,0.015329,0.05693,-0.007129,0.083663,0.067216,-0.02437,0.089829,0.067927,-0.02626
0.021782,0.053712,-0.00663,0.015509,0.056788,-0.007015,0.083591,0.067193,-0.024374,0.089773,0.067908,-0.026136
0.02196,0.053576,-0.006593,0.0157,0.056611,-0.006949,0.083506,0.06719,-0.024317,0.089744,0.06786,-0.026141
0.022127,0.053445,-0.006548,0.015964,0.056385,-0.006921,0.083455,0.067177,-0.024265,0.089612,0.067937,-0.026017
0.022334,0.053357,-0.006467,0.015994,0.056311,-0.006876,0.0834,0.067152,-0.02412,0.089445,0.06793,-0.025878
0.022505,0.053285,-0.00647,0.016193,0.05628,-0.006784,0.083393,0.067141,-0.02409,0.089414,0.06793,-0.025882
0.022658,0.053121,-0.006398,0.016451,0.056126,-0.006756,0.083261,0.067114,-0.024041,0.089375,0.06793,-0.025886
0.022815,0.053092,-0.0063,0.016655,0.056033,-0.006696,0.083232,0.067101,-0.024003,0.089313,0.067895,-0.025794
0.023102,0.05297,-0.006223,0.016797,0.055928,-0.006649,0.083113,0.067098,-0.023952,0.089217,0.06789,-0.02566
0.023307,0.052912,-0.00614,0.017006,0.055822,-0.006579,0.083045,0.067063,-0.023918,0.089173,0.067842,-0.025667
0.023454,0.052731,-0.006099,0.017202,0.055667,-0.006586,0.083013,0.067062,-0.023898,0.089152,0.067841,-0.025604
0.023657,0.052597,-0.006075,0.017359,0.055534,-0.006518,NaN,NaN,NaN,0.089041,0.067903,-0.025513
0.023852,0.052446,-0.005978,0.017549,0.055353,-0.006476,NaN,NaN,NaN,0.089021,0.067902,-0.02548
0.024052,0.052297,-0.005913,0.017772,0.055177,-0.006393,NaN,NaN,NaN,0.08894,0.067881,-0.025258
0.024307,0.052194,-0.005855,0.017848,0.055129,-0.006345,NaN,NaN,NaN,0.088913,0.06788,-0.025226
0.0244,0.052134,-0.005748,0.018172,0.054968,-0.006314,0.082576,0.066958,-0.023399,0.088805,0.06786,-0.025099
0.024616,0.05197,-0.005706,0.018222,0.054883,-0.006229,0.082533,0.066946,-0.023413,0.088779,0.067827,-0.025068
0.024763,0.051973,-0.005664,0.018493,0.054668,-0.006172,0.082492,0.066921,-0.023303,0.088647,0.067823,-0.024912
0.024934,0.051779,-0.005582,0.018678,0.054599,-0.006113,0.082445,0.066864,-0.02322,0.088618,0.067934,-0.02488
0.02513,0.051647,-0.005511,0.018833,0.054452,-0.006031,0.082369,0.066861,-0.02318,0.08853,0.067946,-0.024719
0.025377,0.051576,-0.005256,0.01897,0.054354,-0.005984,0.082244,0.066835,-0.023083,0.088492,0.067945,-0.024723
0.025566,0.051426,-0.005225,0.019193,0.054102,-0.005928,0.082184,0.066832,-0.022901,0.088357,0.067958,-0.024689
0.025769,0.051307,-0.005212,0.01932,0.054023,-0.005882,0.082067,0.06683,-0.022948,0.088275,0.067955,-0.024594
